,Identifiant,Url,Titre,Latitude,Longitude,Resume,Capacite_accueil,NombreSdB,NbChambres,NbLits,Type_logement,type_propriete,type_lit,Animal_sur_place,Cuisine,Internet,television,produits_base,Shampooing,Chauffage,Climatisation,machine_laver,seche_linge,parking_sur-place,wifi,television_cable,petit_dejeuner,animaux_acceptes,pourEnfants_famille,adapte_evenements,logement_fumeur,accessibilite,Ascenseur,cheminee_interieur,Interphone,Portier,Piscine,Jacuzzi,salle_sport,Entree_24-24,Cintres,fer_repasser,seche_cheveux,espace_travail_ordi,detecteur_fumee,monoxyde_carbone_detect,kit_secours,fiche_securite,extincteur,porte_chambre_verrou,rection_semaine,reduction_mois,surcout_voyageur_supp,frais_menage,Caution,conditions_annulation,Description,reglement_interieur,duree_minimale_sejour
1285,6275475,https://www.airbnb.fr/rooms/6275475,Studio 35m2 + Terrasse 24m2+PARKING,44.8267265583,-0.5750175145,"Quartier Victoire,Plein centre de Bordeaux, Agréable,très lumineux avec coin nuit et coin salon donnant sur une Terrasse sans vis à vis avec barbecue et parasol...Cuisine américaine...
Venez vous prélasser au soleil, profiter de notre Belle région !",4,1,0,2,Logement entier,Appartement,,,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,20,300,Strictes,"Quartier Victoire,Plein centre de Bordeaux, Agréable,très lumineux avec coin nuit et coin salon donnant sur une Terrasse sans vis à vis avec barbecue et parasol...Cuisine américaine...

Venez vous prélasser au soleil, profiter de notre Belle région !

Je m ' appelle Claire, je pense bien porter mon nom et tente d' être le plus clair possible dans me vie et ma relation avec les autres : ) 

J adore voyager c est une de mes passions, j'ai encore beaucoup d endroits à voir ! mais je suis déjà allée en Espagne, Angleterre, Irlande, Hollande, Mexique,Réunion,Martinique,Guadeloupe, Mayotte, Ile Maurice, Madagascar,Indonésie, Australie, États-Unis...

J adore recevoir aussi, partager, bien manger, rire !

Profiter de la vie et toujours tenter de tirer du positif du négatif, c est une de mes devises !

",,2
158,1170409,https://www.airbnb.fr/rooms/1170409,Superbe appartement aux Chartrons !,44.8595352287,-0.5739602907,"Ce deux-pièces accueillant pour 6 et douillet se situe dans un quartier calme proche de toutes les commodités. Proche du centre ville grâce au tram ou le bus. De plus la rocade à proximité permet de se rendre rapidement en dehors de Bordeaux.

Bonjour, 
je vous propose un beau T2 bis dans le quartier des Chartrons, proche de la place Ravezies. Appartement 4ème Etage avec ascenseur, pouvant accueillir jusqu'à 6 personnes, 
1 chambre indépendante avec 1 lit double. 
1 salon avec canapé convertible 2 personnes et place pour un matelas gonflable 2 personnes (à disposition) 
Balcon avec table et chaises 
cuisine équipée : four, réfrigérateur, congélateur, lave-linge, machine à café, grille pain, bouilloire, plaques électriques 2 feux, toute vaisselle nécessaire à disposition. 
Salle de bain avec baignoire. 
Draps, couvertures, couettes, serviettes fournies, plaques à lisser. Fer à repasser avec table,aspirateur. 
15 mn à pied des quais et 25 mn à pied du centre ville, 
Place de parking sécurisé 
Bus 4 et tram C à proximité rapprochant de la place Gambetta et 20 minutes de la gare Saint-Jean. 
Rocade à 5 mn en voiture. 
Commerces de quartier à proximité et de nombreux restaurants.
Marché bio sur les Quais le jeudi et le dimanche matin, avec dégustations sur place, vins, huitres, et autres produits régionaux. Pistes de roller et de skates aménagées, promenades et piques-niques, attractions tout l'été. 

Heures d'arrivée et de départ à définir ensemble, suivant planning.

Tramway ligne C et bus 4 à proximité ! Possibilité de se garer",6,1,1,0,Logement entier,Appartement,Vrai lit,,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,400,,"Le logement

Bonjour, 

je vous propose un beau T2 bis dans le quartier des Chartrons, proche de la place Ravezies. Appartement 4ème Etage avec ascenseur, pouvant accueillir jusqu'à 6 personnes, 

1 chambre indépendante avec 1 lit double. 

1 salon avec canapé convertible 2 personnes et place pour un matelas gonflable 2 personnes (à disposition) 

Balcon avec table et chaises 

cuisine équipée : four, réfrigérateur, congélateur, lave-linge, machine à café, grille pain, bouilloire, plaques électriques 2 feux, toute vaisselle nécessaire à disposition. 

Salle de bain avec baignoire. 

Draps, couvertures, couettes, serviettes fournies, plaques à lisser. Fer à repasser avec table,aspirateur. 

15 mn à pied des quais et 25 mn à pied du centre ville, 

Place de parking sécurisé 

Bus 4 et tram C à proximité rapprochant de la place Gambetta et 20 minutes de la gare Saint-Jean. 

Rocade à 5 mn en voiture. 

Commerces de quartier à proximité et de nombreux restaurants.

Marché bio sur les Quais le jeudi et le dimanche matin, avec dégustations sur place, vins, huitres, et autres produits régionaux. Pistes de roller et de skates aménagées, promenades et piques-niques, attractions tout l'été. 

Heures d'arrivée et de départ à définir ensemble, suivant planning.

Tramway ligne C et bus 4 à proximité ! Possibilité de se garer

Je suis une enseignante d'Avignon et j'aime beaucoup voyager","Logement non fumeur

Animaux non acceptés",2
3069,12145332,https://www.airbnb.fr/rooms/12145332,T2 Bordeaux proche centre ville,44.8619580708,-0.5655771185,"Interesting flat near the stadium (EURO 2016), the city, the win museum ...

Appartement idéalement situé près du stade de Bordeaux (10min en voiture) idéal pour l'EURO 2016, du centre commercial Auchan Lac et du centre ville (15min), des quais et de la cité du vin.
Tout conforts, commerces, laverie et bus/tram à proximité.

A 10 minutes à pied du tram qui mène au stade ou en ville

Je serai présent pour l'arrivée des voyageurs et pour le départ. 
Un bref état des lieux aura lieu afin d'éviter les vols ou les détériorations.",4,1,1,2,Logement entier,Appartement,,,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,10,0,8,8,400,Flexibles,"Le logement

A 10 minutes à pied du tram qui mène au stade ou en ville

Échanges avec les voyageurs

Je serai présent pour l'arrivée des voyageurs et pour le départ. 

Un bref état des lieux aura lieu afin d'éviter les vols ou les détériorations.

Non fumeur

Respectueux et convivial","L'heure d'entrée dans les lieux est 12:00 - 21:00.

Avant l'arrivée des voyageurs dans le lieu, je souhaite recevoir la photocopie de la carte d'identité de chacun des voyageurs.",1
3256,12552110,https://www.airbnb.fr/rooms/12552110,chambre dans quartier des Chartrons proche tram,44.8541514345,-0.5718881761,Nous vous accueillerons  dans une ambiance familiale aux cœur des Chartrons dans une chambre au calme avec salle de bain et WC privé. Tram  B et C à 350m. Proche des quais dans immeuble ancien.,2,1,1,0,Chambre privée,Appartement,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Flexibles,Nous vous accueillerons  dans une ambiance familiale aux cœur des Chartrons dans une chambre au calme avec salle de bain et WC privé. Tram  B et C à 350m. Proche des quais dans immeuble ancien.,"Non fumeur

Ne convient pas aux animaux

Pas de fête ni de soirée

Ne convient pas aux enfants (0-12 ans)

",1
124,945340,https://www.airbnb.fr/rooms/945340,Studio idéalement situé,44.8371690204,-0.5682608611,"Appartement confortable, fonctionnel et lumineux, sans vis à vis,dans le  centre, proche des rues piétonnes , des quais et des transports

Calme et ensoleillé, c'est un agréable studio, dans le centre historique de Bordeaux, dans un  quartier vivant et branché, proche des boutiques et bars à vin, situé dans un bel immeuble du 18eme Il est composé d'une grande pièce à vivre  , un coin   cuisine  avec fenêtre sur cour, une salle de bain  et wc avec fenêtre, il est pratique, fonctionnel et refait à neuf. Belle vue dégagée des fenêtres du salon, sur les toits et immeubles anciens du quartiers
L'appartement est situé au 3eme étage, l'escalier qui monte jusqu'à l'appartement tourne autour d'une jolie cour intérieure (website hidden) est équipé d'une télévision  écran plat ,une connexion  internet par la fibre  .
 Dans  la cuisine vous trouverez le nécessaire pour cuisiner  , plaques électriques, hotte aspirante,four micro ondes, cafetière et .bouilloire électrique.Le canapé lit est neuf et confortable, c'est un système rapido qui permet de laisser le lit fait quand il est plié. Le linge de maison est fourni, serviettes de toilette,torchons de cuisine et renouvelé pour les séjours plus longs 
lit bébé sur demande
 Vous trouverez également dans la cuisine , l'essentiel pour le petit déjeuner, café, thé  ainsi que des épices
Dans la salle de bain,une machine à laver le linge, sèche cheveux, et serviettes de toilettes
Le tram le plus proche est à 100 m , le quartier piéton est à 50 m,la rue est calme, on ne peut se garer mais on peut stationner devant la porte pour décharger ses bagages
Un cahier de bienvenu vous proposera de bonnes petites adresses, des guides et plan de Bordeaux  sont  à votre disposition
Le jour de votre arrivée, des conseils vous seront donnés en fonction de vos attentes



Proche de l’appartement se trouvent deux parking payants
le parking Victor Hugo,  cours Victor Hugo
le parking des Salinières situé quai de salinière
le tram est à 100 mètres

circuler dans Bordeaux en vélo  est très facile, pratique  et permet de découvrir les principaux quartiers de  Bordeaux 
il y a une station de Vcub à 100 m de l'appartement
le tram permet également  également de circuler
l'appartement est très central et le plus pratique est de marcher

le studio se trouve dans le centre historique de Bordeaux, dans une rue très calme, dans un  quartier vivant et branché, proche des boutiques et bars à vin, situé dans un bel immeuble du 18eme
les fenêtres de l'appartement donnent  sur l'arrière de l'immeuble, avec vue sur les toits 
le jour de votre arrivée, nous vous conseillerons pour vos sorties

l'appartement est dans le plein centre, tout  déplacement dans le centre peut se faire à pieds.
appartement proche des 3 lignes de tram, pour vous rendre place des Quinconces et aéroport, à la gare Saint Jean et ligne pour vous rendre à l'université 
location Vcub à 100 metres pour vous déplacer en vélo
Vcub:  circuler dans Bordeaux en vélo  est très facile, pratique, il y a beaucoup de pistes cyclables  et  cela permet de découvrir les principaux quartiers de  Bordeaux 
les stations de tram sont proches :station  Place du Palais à 2mn et station  Porte de Bourgogne à 5mn à pieds, 
pour se rendre à l'unniversité (Talence ou Pessac) arrêt place du Palais puis changement Place Peyberlan , ou station  Musée d'Aquitaine à 10 mn

L’appartement est équipé de la liaison internet 
Un pack de bienvenue vous attend :
 Draps, taies d’oreillers, couvertures 
Serviettes de toilettes
Torchons pour la cuisine
Rouleau de papier toilette
savon , shampoing et mousse à raser
Quelques produits d’entretien ( lessive, etc..)
Thé, café, épices,sucre, sel",2,1,0,0,Logement entier,Appartement,Canapé convertible,,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,30,0,0,0,Modérées,"Le logement

Calme et ensoleillé, c'est un agréable studio, dans le centre historique de Bordeaux, dans un  quartier vivant et branché, proche des boutiques et bars à vin, situé dans un bel immeuble du 18eme Il est composé d'une grande pièce à vivre  , un coin   cuisine  avec fenêtre sur cour, une salle de bain  et wc avec fenêtre, il est pratique, fonctionnel et refait à neuf. Belle vue dégagée des fenêtres du salon, sur les toits et immeubles anciens du quartiers

L'appartement est situé au 3eme étage, l'escalier qui monte jusqu'à l'appartement tourne autour d'une jolie cour intérieure (website hidden) est équipé d'une télévision  écran plat ,une connexion  internet par la fibre  .

 Dans  la cuisine vous trouverez le nécessaire pour cuisiner  , plaques électriques, hotte aspirante,four micro ondes, cafetière et .bouilloire électrique.Le canapé lit est neuf et confortable, c'est un système rapido qui permet de laisser le lit fait quand il est plié. Le linge de maison est fourni, serviettes de toilette,torchons de cuisine et renouvelé pour les séjours plus longs 

lit bébé sur demande

 Vous trouverez également dans la cuisine , l'essentiel pour le petit déjeuner, café, thé  ainsi que des épices

Dans la salle de bain,une machine à laver le linge, sèche cheveux, et serviettes de toilettes

Le tram le plus proche est à 100 m , le quartier piéton est à 50 m,la rue est calme, on ne peut se garer mais on peut stationner devant la porte pour décharger ses bagages

Un cahier de bienvenu vous proposera de bonnes petites adresses, des guides et plan de Bordeaux  sont  à votre disposition

Le jour de votre arrivée, des conseils vous seront donnés en fonction de vos attentes



Accès des voyageurs

Proche de l’appartement se trouvent deux parking payants

le parking Victor Hugo,  cours Victor Hugo

le parking des Salinières situé quai de salinière

le tram est à 100 mètres

Échanges avec les voyageurs

circuler dans Bordeaux en vélo  est très facile, pratique  et permet de découvrir les principaux quartiers de  Bordeaux 

il y a une station de Vcub à 100 m de l'appartement

le tram permet également  également de circuler

l'appartement est très central et le plus pratique est de marcher

Le quartier

le studio se trouve dans le centre historique de Bordeaux, dans une rue très calme, dans un  quartier vivant et branché, proche des boutiques et bars à vin, situé dans un bel immeuble du 18eme

les fenêtres de l'appartement donnent  sur l'arrière de l'immeuble, avec vue sur les toits 

le jour de votre arrivée, nous vous conseillerons pour vos sorties

Transports

l'appartement est dans le plein centre, tout  déplacement dans le centre peut se faire à pieds.

appartement proche des 3 lignes de tram, pour vous rendre place des Quinconces et aéroport, à la gare Saint Jean et ligne pour vous rendre à l'université 

location Vcub à 100 metres pour vous déplacer en vélo

Vcub:  circuler dans Bordeaux en vélo  est très facile, pratique, il y a beaucoup de pistes cyclables  et  cela permet de découvrir les principaux quartiers de  Bordeaux 

les stations de tram sont proches :station  Place du Palais à 2mn et station  Porte de Bourgogne à 5mn à pieds, 

pour se rendre à l'unniversité (Talence ou Pessac) arrêt place du Palais puis changement Place Peyberlan , ou station  Musée d'Aquitaine à 10 mn

Autres remarques

L’appartement est équipé de la liaison internet 

Un pack de bienvenue vous attend :

 Draps, taies d’oreillers, couvertures 

Serviettes de toilettes

Torchons pour la cuisine

Rouleau de papier toilette

savon , shampoing et mousse à raser

Quelques produits d’entretien ( lessive, etc..)

Thé, café, épices,sucre, sel

Bonjour à tous, nous nous ferons un plaisir de vous accueillir au cœur du quartier historique , un havre de paix dans un  quartier vivant. A bientôt","Pas de fête ni de soirée

Bienvenus

Cet appartement est pour deux personnes avec  un canapé convertible , des personnes supplémentaires réduiraient le confort de l’appartement.

Nous demandons aux personnes qui fument de fumer  à l’extérieur , sur le balcon au dessus de la cour pour que  les locataires suivants ne soient pas incommodés.

Les animaux sont acceptés avec accord  au préalable, s’ils ne perturbent  pas la tranquillité de l’immeuble.Nous vous demandons de respecter les lieux comme si c'était chez vous et de ne pas faire de bruits pour ne pas déranger les voisins

 l’eau chaude, le chauffage, les taxes et  le ménage sont  inclus dans le tarif

le ménage de l'appartement n'est pas compté en plus, nous vous faisons confiance pour restituer l'appartement comme vous l'avez trouvé

les ordures ménagères sont à jeter dans les poubelles dans la rue et le verre doit être déposé dans un container spécial place du Palais,sur les quais

Deux trousseaux de clés vous sont remis  lors de votre arrivée , nous sommes conciliants pour vos heures d’arrivée et de départ, il suffit de nous prévenir à l’avance.

Dans l’appartement vous disposerez d’informations pratiques pour vos déplacements et sorties diverses, des conseils pour les bars et restaurants que nous connaissons

Des guides en français et anglais , ainsi que plans de la ville sont fournis",4
2661,11109460,https://www.airbnb.fr/rooms/11109460,Très belle échoppe familiale,44.8392123738,-0.610070623,"Cette échoppe bordelaise aux belles prestations, vous accueillera entre le centre de Bordeaux et l'aéroport de Mérignac. Son jardin, son parking ainsi que son confort intérieur vous permettront un séjour très agréable en famille ou entre amis...",6,15,4,4,Logement entier,Maison,,,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,30,500,Strictes,"Cette échoppe bordelaise aux belles prestations, vous accueillera entre le centre de Bordeaux et l'aéroport de Mérignac. Son jardin, son parking ainsi que son confort intérieur vous permettront un séjour très agréable en famille ou entre amis...","Non fumeur

Ne convient pas aux animaux

Pas de fête ni de soirée

L'entrée dans les lieux se fait après 16:00

Nous demandons à nos hôtes de respecter la maison et le voisinage. Quartier très calme. 

Les fêtes doivent avoir lieu dans Bordeaux et non dans le logement .

Nous demandons à nos hôtes d'enlever les draps des lits avant de partir et de rendre le logement propre et rangé.

Merci de bien vouloir vous engager à respecter ce règlement avant de confirmer la validation de votre séjour. Merci et à très vite... Sophie",2
942,5134659,https://www.airbnb.fr/rooms/5134659,1 chambre - Centre Historique,44.8385890606,-0.572885525,"Profitez de tout le confort nécessaire dans cet appartement de choix (calme et lumineux) situé l'hyper-centre de Bordeaux.

Cet appartement de charme avec pierres apparentes et parquet d'origine est idéalement bien situé dans le cœur historique de Bordeaux. Tous les centre d'intérêts, places, restaurants... sont accessibles à pied.

Le salon est exposé plein Ouest et donne sur une petite rue sans issue , par conséquent c'est très lumineux et calme.

La cuisine comprend un bar et est ouverte sur le salon. Elle est équipée de 4 plaques à induction, un four et un réfrigérateur-congélateur ainsi que de 2 éviers.

La chambre louée comprend une bibliothèque et un canapé-lit double. Elle donne plein Est, sur une cour intérieure , elle est donc lumineuse et  au calme.

La salle d'eau est équipée d'une baignoire/douche et le coin WC est séparé.

Je serais dans mon appartement en même temps que vous. Mes horaires de travail font que je serais absente la plupart de la journée mais je suis disponible pour toute question/renseignement nécessaire pour faire que votre séjour à Bordeaux soient le plus agréable possible.

L'appartement est situé à quelques mètres seulement de la place Camille Jullian. Beaucoup de restaurants sont à quelques minutes seulement, vous trouverez de tout en terme de cuisine (Thaï/Coréen/Japonais/Français/Argentin/Burgers..) et une des meilleurs boulangerie bordelaise se situe dans la rue parallèle.

Tout est accessible à pied. Les arrêts des 3 lignes de tramways sont à quelques minutes.

Si vous préférez le vélo, des stations de VCub (équivalent du Vélib parisien) sont autour à 2 min.",1,1,1,0,Chambre privée,Appartement,,,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,20,500,Strictes,"Le logement

Cet appartement de charme avec pierres apparentes et parquet d'origine est idéalement bien situé dans le cœur historique de Bordeaux. Tous les centre d'intérêts, places, restaurants... sont accessibles à pied.

Le salon est exposé plein Ouest et donne sur une petite rue sans issue , par conséquent c'est très lumineux et calme.

La cuisine comprend un bar et est ouverte sur le salon. Elle est équipée de 4 plaques à induction, un four et un réfrigérateur-congélateur ainsi que de 2 éviers.

La chambre louée comprend une bibliothèque et un canapé-lit double. Elle donne plein Est, sur une cour intérieure , elle est donc lumineuse et  au calme.

La salle d'eau est équipée d'une baignoire/douche et le coin WC est séparé.

Échanges avec les voyageurs

Je serais dans mon appartement en même temps que vous. Mes horaires de travail font que je serais absente la plupart de la journée mais je suis disponible pour toute question/renseignement nécessaire pour faire que votre séjour à Bordeaux soient le plus agréable possible.

Le quartier

L'appartement est situé à quelques mètres seulement de la place Camille Jullian. Beaucoup de restaurants sont à quelques minutes seulement, vous trouverez de tout en terme de cuisine (Thaï/Coréen/Japonais/Français/Argentin/Burgers..) et une des meilleurs boulangerie bordelaise se situe dans la rue parallèle.

Transports

Tout est accessible à pied. Les arrêts des 3 lignes de tramways sont à quelques minutes.

Si vous préférez le vélo, des stations de VCub (équivalent du Vélib parisien) sont autour à 2 min.

I lived in a few countries - USA, Spain and, of course, France. I am originally from a tiny village in the Basque Country and I've always loved travelling... and I work in a travel agency.



I really like meeting new people, hearing different stories and will be curious to hear about yours.



-------



Originaire d'un petit village basque, j'ai transporté mes valises en Espagne et aux Etats-Unis avant de les poser à Bordeaux. J'ai toujours aimé voyager et découvrir de nouvelles cultures.","Non fumeur

Ne convient pas aux animaux

Pas de fête ni de soirée

Ne convient pas aux enfants (0-12 ans)

L'heure d'entrée dans les lieux est 08:00 - 14:00.

Appartement non-fumeur

Animaux non-admis

Merci de laver la vaisselle que vous utilisez",2
4492,13690168,https://www.airbnb.fr/rooms/13690168,T1 bis pratique et bien situé dans Bordeaux,44.854685555,-0.5723516839,"Mon logement est situé dans le quartier des Chartrons, à 5 minutes du centre ville par le tram et à 10 minutes à pied des quais.. Il comprend un couchage en mezzanine et un clic clac dans la pièce principale.",2,1,0,0,Logement entier,Appartement,,,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,50,100,Flexibles,"Mon logement est situé dans le quartier des Chartrons, à 5 minutes du centre ville par le tram et à 10 minutes à pied des quais.. Il comprend un couchage en mezzanine et un clic clac dans la pièce principale.","Non fumeur

Ne convient pas aux animaux

Pas de fête ni de soirée

",1
4688,13926068,https://www.airbnb.fr/rooms/13926068,"Studio 20m2, Place Camille Jullian",44.8377102239,-0.5716890534,"Studio de 20m carré au cœur de Bordeaux, situé place Camille Jullian pouvant accueillir 2 personnes 
Équipé d'une pièce à vivre avec clic-clac 2 places et cuisine. 
Salle de bain indépendante.

Idéalement placé au cœur de Bordeaux, à côté de la rue commerçante sainte Catherine et à 5 minutes à pieds de la place de la bourse et des quais, miroir d'eau.

A 2 minutes des différents arrêts de tram (arret sainte Catherine et arret Bourse les plus proches)

Quais pour les balades, restaurants pour les épicuriens, boutiques pour les accroc du shopping. Au cœur de Bordeaux !

Tram (arret ste Catherine et arret Bourse sont les plus proches)",2,1,1,0,Logement entier,Appartement,Vrai lit,,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Flexibles,"Le logement

Idéalement placé au cœur de Bordeaux, à côté de la rue commerçante sainte Catherine et à 5 minutes à pieds de la place de la bourse et des quais, miroir d'eau.

Accès des voyageurs

A 2 minutes des différents arrêts de tram (arret sainte Catherine et arret Bourse les plus proches)

Le quartier

Quais pour les balades, restaurants pour les épicuriens, boutiques pour les accroc du shopping. Au cœur de Bordeaux !

Transports

Tram (arret ste Catherine et arret Bourse sont les plus proches)","Les serviettes de bains ne sont pas fournis 

Passer un petit coup de balai et ménage avant le départ :)",2
4876,14212868,https://www.airbnb.fr/rooms/14212868,Confortable,44.8441482333,-0.5879551466,"Ce logement RdC de 70m2 comprend une entrée, un salon/séjour, une chambre, une SB, wc à part, terrasses, un pkg privé sécurisé.
Au sein du réputé quartier St Seurin, idéalement situé pour visiter à pied la ville, accès rapide aux principaux monuments, bords de fleuve, activités, spectacles, au très animé quartier ancien....
A deux pas des  principaux transports (station Vé lib, voiture électrique et bus à 2mn, tramway à 10 mn à pied). Quartier d'affaires mériadek à 10 mn à pied également....

L’appartement est accueillant, très calme en cour intérieure d’une  agréable résidence, en rez de chaussée avec accès terrasses. Il s’y respire une bonne ambiance dont vous pouvez faire partie. 
Lors de votre arrivée vous pourrez être accueilli par Thierry ou Charlotte sa fille.

Vous profiterez de votre séjour, durant lequel vous aurez accès au réseau wifi gratuitement, ainsi que toutes les facilités comme si vous étiez chez vous :
- pour la salle de bain, le nécessaire est mis à dispossition (serviettes, gants...). Si vous en avez besoin vous pourrez utiliser la machine à laver le linge sans dépenses supplémentaires,
- de même vous disposez de la cuisine pour préparer vos repas (vaisselle, réfrigérateur/congélateur, gazinière, machine à laver la vaisselle, cafetière, ...),
- dans le salon-séjour on a envie d’y  être pour y passer de bons moments dans le calme, ou en regardant paisiblement la télévision grace aux nombreuses chaîne de la box,
- votre chambre dont la fenêtre donne sur la verdure est spacieuse avec un lit de 140, un bureau, une télévision supplémentaire et un grand espace de rangement (penderie, étagères), 
- une place de parking sécurisée en sous sol peut être mise à votre disposition ce qui vous permettra d'éviter des dépenses inutiles dans un centre ville où les parking sont payants et les places insuffisantes.

Nous souhaitons que vous  gardiez un bon souvenir de votre séjour, aussi nous vous faciliterons toutes les informations utiles. De plus Thierry votre hôte vous conseillera autant que possible. S’il le peut,  il vous accompagnera dans certaines découvertes.

A proximité de toutes commodités (commerces, transports,...) le logement est idéalement situé dans un quartier recherché de Bordeaux, celui de la basilique St Seurin elle-même située dans le parc de la place des martyres de la résistance où il fait bon se reposer.  
Vous avez accès à pied aux principaux sites touristiques de la ville (monuments, bord de fleuve avec ballades possibles en bateau comme la remontée de la gironde tout en prenant un repas à bord,…), de même aux  principales activités et attractions  de la ville, comme le quartier ancien, très animé avec ses restaurants, pubs,…

Une station vélos Vé lib et location voiture électrique est à 2mn, ainsi que le bus. A 10mn à pied est l’accès au tramway. La gare SNCF St Jean est accessible directement par bus, ou par tramway. Il en est de même de l’aéroport directement par bus.",2,1,1,0,Logement entier,Appartement,Vrai lit,,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,5,33,0,0,600,Strictes,"Le logement

L’appartement est accueillant, très calme en cour intérieure d’une  agréable résidence, en rez de chaussée avec accès terrasses. Il s’y respire une bonne ambiance dont vous pouvez faire partie. 

Lors de votre arrivée vous pourrez être accueilli par Thierry ou Charlotte sa fille.

Accès des voyageurs

Vous profiterez de votre séjour, durant lequel vous aurez accès au réseau wifi gratuitement, ainsi que toutes les facilités comme si vous étiez chez vous :

- pour la salle de bain, le nécessaire est mis à dispossition (serviettes, gants...). Si vous en avez besoin vous pourrez utiliser la machine à laver le linge sans dépenses supplémentaires,

- de même vous disposez de la cuisine pour préparer vos repas (vaisselle, réfrigérateur/congélateur, gazinière, machine à laver la vaisselle, cafetière, ...),

- dans le salon-séjour on a envie d’y  être pour y passer de bons moments dans le calme, ou en regardant paisiblement la télévision grace aux nombreuses chaîne de la box,

- votre chambre dont la fenêtre donne sur la verdure est spacieuse avec un lit de 140, un bureau, une télévision supplémentaire et un grand espace de rangement (penderie, étagères), 

- une place de parking sécurisée en sous sol peut être mise à votre disposition ce qui vous permettra d'éviter des dépenses inutiles dans un centre ville où les parking sont payants et les places insuffisantes.

Échanges avec les voyageurs

Nous souhaitons que vous  gardiez un bon souvenir de votre séjour, aussi nous vous faciliterons toutes les informations utiles. De plus Thierry votre hôte vous conseillera autant que possible. S’il le peut,  il vous accompagnera dans certaines découvertes.

Le quartier

A proximité de toutes commodités (commerces, transports,...) le logement est idéalement situé dans un quartier recherché de Bordeaux, celui de la basilique St Seurin elle-même située dans le parc de la place des martyres de la résistance où il fait bon se reposer.  

Vous avez accès à pied aux principaux sites touristiques de la ville (monuments, bord de fleuve avec ballades possibles en bateau comme la remontée de la gironde tout en prenant un repas à bord,…), de même aux  principales activités et attractions  de la ville, comme le quartier ancien, très animé avec ses restaurants, pubs,…

Transports

Une station vélos Vé lib et location voiture électrique est à 2mn, ainsi que le bus. A 10mn à pied est l’accès au tramway. La gare SNCF St Jean est accessible directement par bus, ou par tramway. Il en est de même de l’aéroport directement par bus.

Profil polyvalent avec des expériences diversifiées, se plait dans la rencontre des differences sources de richesse. Il pratique l'aviation légère de même des activités associatives variées alliées à un grand intérêt pour les voyages, les langues, l'histoire, la philosophie...","Non fumeur

Ne convient pas aux animaux

Pas de fête ni de soirée

La première règle et la plus importante est que vous ayez envie de faire quelque chose, de profiter.

Puis les bons usages vont de soi, une utilisation responsable de l’eau, de l’énergie, de bien fermer en votre absence, et d’accorder vos meilleurs soins au logement comme ses revêtements de sol.

Les terrasses permettent de fumer en toute tranquillité.",2
